path,label,source
raw/asl_alphabet_train/A/A1620.jpg,A,kaggle_asl_alphabet
raw/asl_alphabet_train/Y/Y2148.jpg,Y,kaggle_asl_alphabet
raw/asl_alphabet_train/Z/Z1747.jpg,Z,kaggle_asl_alphabet
raw/asl_alphabet_train/Z/Z161.jpg,Z,kaggle_asl_alphabet
raw/asl_alphabet_train/H/H976.jpg,H,kaggle_asl_alphabet
raw/asl_alphabet_train/del/del62.jpg,del,kaggle_asl_alphabet
raw/asl_alphabet_train/nothing/nothing556.jpg,nothing,kaggle_asl_alphabet
raw/asl_alphabet_train/U/U2087.jpg,U,kaggle_asl_alphabet
raw/asl_alphabet_train/E/E1092.jpg,E,kaggle_asl_alphabet
raw/asl_alphabet_train/X/X2539.jpg,X,kaggle_asl_alphabet
raw/asl_alphabet_train/I/I1037.jpg,I,kaggle_asl_alphabet
raw/asl_alphabet_train/W/W1080.jpg,W,kaggle_asl_alphabet
raw/asl_alphabet_train/U/U2874.jpg,U,kaggle_asl_alphabet
raw/asl_alphabet_train/X/X1998.jpg,X,kaggle_asl_alphabet
raw/asl_alphabet_train/N/N2477.jpg,N,kaggle_asl_alphabet
raw/asl_alphabet_train/B/B2391.jpg,B,kaggle_asl_alphabet
raw/asl_alphabet_train/E/E620.jpg,E,kaggle_asl_alphabet
raw/asl_alphabet_train/S/S1054.jpg,S,kaggle_asl_alphabet
raw/asl_alphabet_train/H/H544.jpg,H,kaggle_asl_alphabet
raw/asl_alphabet_train/O/O755.jpg,O,kaggle_asl_alphabet
raw/asl_alphabet_train/F/F1583.jpg,F,kaggle_asl_alphabet
raw/asl_alphabet_train/E/E845.jpg,E,kaggle_asl_alphabet
raw/asl_alphabet_train/L/L2015.jpg,L,kaggle_asl_alphabet
raw/asl_alphabet_train/V/V626.jpg,V,kaggle_asl_alphabet
raw/asl_alphabet_train/Y/Y2131.jpg,Y,kaggle_asl_alphabet
raw/asl_alphabet_train/Q/Q1817.jpg,Q,kaggle_asl_alphabet
raw/asl_alphabet_train/nothing/nothing1121.jpg,nothing,kaggle_asl_alphabet
raw/asl_alphabet_train/P/P924.jpg,P,kaggle_asl_alphabet
raw/asl_alphabet_train/C/C1669.jpg,C,kaggle_asl_alphabet
raw/asl_alphabet_train/B/B1832.jpg,B,kaggle_asl_alphabet
raw/asl_alphabet_train/D/D442.jpg,D,kaggle_asl_alphabet
raw/asl_alphabet_train/Q/Q788.jpg,Q,kaggle_asl_alphabet
raw/asl_alphabet_train/I/I2370.jpg,I,kaggle_asl_alphabet
raw/asl_alphabet_train/J/J111.jpg,J,kaggle_asl_alphabet
raw/asl_alphabet_train/X/X930.jpg,X,kaggle_asl_alphabet
raw/asl_alphabet_train/N/N1619.jpg,N,kaggle_asl_alphabet
raw/asl_alphabet_train/A/A2399.jpg,A,kaggle_asl_alphabet
raw/asl_alphabet_train/I/I466.jpg,I,kaggle_asl_alphabet
raw/asl_alphabet_train/space/space1478.jpg,space,kaggle_asl_alphabet
raw/asl_alphabet_train/F/F2453.jpg,F,kaggle_asl_alphabet
raw/asl_alphabet_train/nothing/nothing762.jpg,nothing,kaggle_asl_alphabet
raw/asl_alphabet_train/Q/Q1451.jpg,Q,kaggle_asl_alphabet
raw/asl_alphabet_train/V/V2954.jpg,V,kaggle_asl_alphabet
raw/asl_alphabet_train/V/V1266.jpg,V,kaggle_asl_alphabet
raw/asl_alphabet_train/G/G1785.jpg,G,kaggle_asl_alphabet
raw/asl_alphabet_train/P/P849.jpg,P,kaggle_asl_alphabet
raw/asl_alphabet_train/H/H249.jpg,H,kaggle_asl_alphabet
raw/asl_alphabet_train/V/V2227.jpg,V,kaggle_asl_alphabet
raw/asl_alphabet_train/W/W2109.jpg,W,kaggle_asl_alphabet
raw/asl_alphabet_train/J/J2220.jpg,J,kaggle_asl_alphabet
raw/asl_alphabet_train/P/P1542.jpg,P,kaggle_asl_alphabet
raw/asl_alphabet_train/K/K167.jpg,K,kaggle_asl_alphabet
raw/asl_alphabet_train/U/U1681.jpg,U,kaggle_asl_alphabet
raw/asl_alphabet_train/L/L2899.jpg,L,kaggle_asl_alphabet
raw/asl_alphabet_train/C/C77.jpg,C,kaggle_asl_alphabet
raw/asl_alphabet_train/J/J1668.jpg,J,kaggle_asl_alphabet
raw/asl_alphabet_train/K/K302.jpg,K,kaggle_asl_alphabet
raw/asl_alphabet_train/Y/Y1440.jpg,Y,kaggle_asl_alphabet
raw/asl_alphabet_train/L/L945.jpg,L,kaggle_asl_alphabet
raw/asl_alphabet_train/F/F1085.jpg,F,kaggle_asl_alphabet
raw/asl_alphabet_train/I/I328.jpg,I,kaggle_asl_alphabet
raw/asl_alphabet_train/space/space1566.jpg,space,kaggle_asl_alphabet
