path,label
asl_alphabet_train/A/A1600.jpg,A
asl_alphabet_train/Y/Y2996.jpg,Y
asl_alphabet_train/Z/Z1341.jpg,Z
asl_alphabet_train/Z/Z2558.jpg,Z
asl_alphabet_train/H/H802.jpg,H
asl_alphabet_train/del/del1698.jpg,del
asl_alphabet_train/nothing/nothing559.jpg,nothing
asl_alphabet_train/U/U1512.jpg,U
asl_alphabet_train/E/E2099.jpg,E
asl_alphabet_train/X/X1449.jpg,X
asl_alphabet_train/I/I132.jpg,I
asl_alphabet_train/W/W2635.jpg,W
asl_alphabet_train/U/U2398.jpg,U
asl_alphabet_train/X/X2372.jpg,X
asl_alphabet_train/N/N2136.jpg,N
asl_alphabet_train/B/B2930.jpg,B
asl_alphabet_train/E/E1997.jpg,E
asl_alphabet_train/S/S2749.jpg,S
asl_alphabet_train/H/H2099.jpg,H
asl_alphabet_train/O/O940.jpg,O
asl_alphabet_train/F/F2162.jpg,F
asl_alphabet_train/E/E472.jpg,E
asl_alphabet_train/L/L629.jpg,L
asl_alphabet_train/V/V1534.jpg,V
asl_alphabet_train/Y/Y2940.jpg,Y
asl_alphabet_train/Q/Q2564.jpg,Q
asl_alphabet_train/nothing/nothing234.jpg,nothing
asl_alphabet_train/P/P2308.jpg,P
asl_alphabet_train/C/C1103.jpg,C
asl_alphabet_train/B/B401.jpg,B
asl_alphabet_train/D/D2863.jpg,D
asl_alphabet_train/Q/Q2326.jpg,Q
asl_alphabet_train/I/I212.jpg,I
asl_alphabet_train/J/J1475.jpg,J
asl_alphabet_train/X/X1001.jpg,X
asl_alphabet_train/N/N2549.jpg,N
asl_alphabet_train/A/A1083.jpg,A
asl_alphabet_train/I/I648.jpg,I
asl_alphabet_train/space/space16.jpg,space
asl_alphabet_train/F/F524.jpg,F
asl_alphabet_train/nothing/nothing2815.jpg,nothing
asl_alphabet_train/Q/Q487.jpg,Q
asl_alphabet_train/V/V1357.jpg,V
asl_alphabet_train/V/V138.jpg,V
asl_alphabet_train/G/G41.jpg,G
asl_alphabet_train/P/P382.jpg,P
asl_alphabet_train/H/H2603.jpg,H
asl_alphabet_train/V/V2469.jpg,V
asl_alphabet_train/W/W2678.jpg,W
asl_alphabet_train/J/J139.jpg,J
asl_alphabet_train/P/P1351.jpg,P
asl_alphabet_train/K/K2735.jpg,K
asl_alphabet_train/U/U580.jpg,U
asl_alphabet_train/L/L964.jpg,L
asl_alphabet_train/C/C607.jpg,C
asl_alphabet_train/J/J1013.jpg,J
asl_alphabet_train/K/K987.jpg,K
asl_alphabet_train/Y/Y2923.jpg,Y
asl_alphabet_train/L/L2848.jpg,L
asl_alphabet_train/F/F2833.jpg,F
asl_alphabet_train/I/I1678.jpg,I
asl_alphabet_train/space/space2887.jpg,space
asl_alphabet_train/D/D2925.jpg,D
asl_alphabet_train/J/J1070.jpg,J
asl_alphabet_train/K/K361.jpg,K
asl_alphabet_train/L/L1059.jpg,L
asl_alphabet_train/del/del2326.jpg,del
asl_alphabet_train/R/R1791.jpg,R
asl_alphabet_train/D/D1202.jpg,D
asl_alphabet_train/S/S2008.jpg,S
asl_alphabet_train/D/D2227.jpg,D
asl_alphabet_train/C/C2041.jpg,C
asl_alphabet_train/V/V201.jpg,V
asl_alphabet_train/F/F1317.jpg,F
asl_alphabet_train/Z/Z72.jpg,Z
asl_alphabet_train/X/X915.jpg,X
asl_alphabet_train/B/B2041.jpg,B
asl_alphabet_train/C/C2416.jpg,C
asl_alphabet_train/N/N631.jpg,N
asl_alphabet_train/H/H2597.jpg,H
asl_alphabet_train/X/X2600.jpg,X
asl_alphabet_train/E/E1021.jpg,E
asl_alphabet_train/G/G392.jpg,G
asl_alphabet_train/A/A768.jpg,A
asl_alphabet_train/R/R300.jpg,R
asl_alphabet_train/B/B774.jpg,B
asl_alphabet_train/space/space2903.jpg,space
asl_alphabet_train/R/R441.jpg,R
asl_alphabet_train/T/T1790.jpg,T
asl_alphabet_train/M/M14.jpg,M
asl_alphabet_train/F/F2568.jpg,F
asl_alphabet_train/W/W724.jpg,W
asl_alphabet_train/J/J2010.jpg,J
asl_alphabet_train/I/I116.jpg,I
asl_alphabet_train/space/space2863.jpg,space
asl_alphabet_train/Y/Y1833.jpg,Y
asl_alphabet_train/del/del2409.jpg,del
asl_alphabet_train/O/O2984.jpg,O
asl_alphabet_train/nothing/nothing362.jpg,nothing
asl_alphabet_train/A/A2080.jpg,A
asl_alphabet_train/D/D993.jpg,D
asl_alphabet_train/U/U1320.jpg,U
asl_alphabet_train/C/C1854.jpg,C
asl_alphabet_train/nothing/nothing1956.jpg,nothing
asl_alphabet_train/S/S2970.jpg,S
asl_alphabet_train/Q/Q1745.jpg,Q
asl_alphabet_train/F/F817.jpg,F
asl_alphabet_train/Q/Q924.jpg,Q
asl_alphabet_train/T/T368.jpg,T
asl_alphabet_train/R/R2459.jpg,R
asl_alphabet_train/B/B1940.jpg,B
asl_alphabet_train/I/I882.jpg,I
asl_alphabet_train/Z/Z2200.jpg,Z
asl_alphabet_train/E/E1756.jpg,E
asl_alphabet_train/A/A1297.jpg,A
asl_alphabet_train/Z/Z630.jpg,Z
asl_alphabet_train/I/I2939.jpg,I
asl_alphabet_train/nothing/nothing861.jpg,nothing
asl_alphabet_train/Y/Y1467.jpg,Y
asl_alphabet_train/F/F1596.jpg,F
asl_alphabet_train/space/space2145.jpg,space
asl_alphabet_train/H/H2988.jpg,H
asl_alphabet_train/D/D914.jpg,D
asl_alphabet_train/J/J1100.jpg,J
asl_alphabet_train/space/space934.jpg,space
asl_alphabet_train/M/M1778.jpg,M
asl_alphabet_train/del/del2254.jpg,del
asl_alphabet_train/E/E339.jpg,E
asl_alphabet_train/nothing/nothing364.jpg,nothing
asl_alphabet_train/Z/Z251.jpg,Z
asl_alphabet_train/del/del1222.jpg,del
asl_alphabet_train/O/O322.jpg,O
asl_alphabet_train/Q/Q658.jpg,Q
asl_alphabet_train/E/E394.jpg,E
asl_alphabet_train/U/U805.jpg,U
asl_alphabet_train/X/X2984.jpg,X
asl_alphabet_train/T/T2871.jpg,T
asl_alphabet_train/O/O2404.jpg,O
asl_alphabet_train/L/L2537.jpg,L
asl_alphabet_train/V/V421.jpg,V
asl_alphabet_train/del/del2065.jpg,del
asl_alphabet_train/D/D257.jpg,D
asl_alphabet_train/B/B2758.jpg,B
asl_alphabet_train/G/G264.jpg,G
asl_alphabet_train/nothing/nothing532.jpg,nothing
asl_alphabet_train/D/D1164.jpg,D
asl_alphabet_train/X/X359.jpg,X
asl_alphabet_train/W/W2381.jpg,W
asl_alphabet_train/U/U1875.jpg,U
asl_alphabet_train/A/A1705.jpg,A
asl_alphabet_train/I/I272.jpg,I
asl_alphabet_train/P/P853.jpg,P
asl_alphabet_train/S/S772.jpg,S
asl_alphabet_train/A/A181.jpg,A
asl_alphabet_train/N/N1719.jpg,N
asl_alphabet_train/F/F2227.jpg,F
asl_alphabet_train/space/space1930.jpg,space
asl_alphabet_train/F/F1948.jpg,F
asl_alphabet_train/A/A2751.jpg,A
asl_alphabet_train/J/J2974.jpg,J
asl_alphabet_train/X/X1786.jpg,X
asl_alphabet_train/A/A2490.jpg,A
asl_alphabet_train/C/C316.jpg,C
asl_alphabet_train/Z/Z176.jpg,Z
asl_alphabet_train/E/E241.jpg,E
asl_alphabet_train/space/space747.jpg,space
asl_alphabet_train/F/F2470.jpg,F
asl_alphabet_train/E/E1306.jpg,E
asl_alphabet_train/I/I2845.jpg,I
asl_alphabet_train/P/P1081.jpg,P
asl_alphabet_train/N/N1267.jpg,N
asl_alphabet_train/B/B1714.jpg,B
asl_alphabet_train/Z/Z2257.jpg,Z
asl_alphabet_train/O/O1309.jpg,O
asl_alphabet_train/space/space1936.jpg,space
asl_alphabet_train/C/C1378.jpg,C
asl_alphabet_train/B/B1188.jpg,B
asl_alphabet_train/B/B877.jpg,B
asl_alphabet_train/Z/Z2840.jpg,Z
asl_alphabet_train/W/W2272.jpg,W
asl_alphabet_train/N/N1011.jpg,N
asl_alphabet_train/D/D726.jpg,D
asl_alphabet_train/O/O1642.jpg,O
asl_alphabet_train/del/del268.jpg,del
asl_alphabet_train/R/R1207.jpg,R
asl_alphabet_train/W/W1888.jpg,W
asl_alphabet_train/C/C394.jpg,C
asl_alphabet_train/D/D123.jpg,D
asl_alphabet_train/W/W2203.jpg,W
asl_alphabet_train/T/T2686.jpg,T
asl_alphabet_train/T/T2732.jpg,T
asl_alphabet_train/U/U198.jpg,U
asl_alphabet_train/J/J1762.jpg,J
asl_alphabet_train/P/P2577.jpg,P
asl_alphabet_train/R/R2865.jpg,R
asl_alphabet_train/Q/Q2465.jpg,Q
asl_alphabet_train/D/D17.jpg,D
asl_alphabet_train/space/space1042.jpg,space
asl_alphabet_train/Q/Q957.jpg,Q
asl_alphabet_train/B/B1020.jpg,B
asl_alphabet_train/R/R42.jpg,R
asl_alphabet_train/M/M1104.jpg,M
asl_alphabet_train/A/A2545.jpg,A
asl_alphabet_train/U/U1212.jpg,U
asl_alphabet_train/X/X656.jpg,X
asl_alphabet_train/I/I1776.jpg,I
asl_alphabet_train/S/S45.jpg,S
asl_alphabet_train/N/N1924.jpg,N
asl_alphabet_train/T/T1782.jpg,T
asl_alphabet_train/Z/Z839.jpg,Z
asl_alphabet_train/nothing/nothing509.jpg,nothing
asl_alphabet_train/W/W1732.jpg,W
asl_alphabet_train/B/B348.jpg,B
asl_alphabet_train/del/del2597.jpg,del
asl_alphabet_train/Y/Y1188.jpg,Y
asl_alphabet_train/R/R172.jpg,R
asl_alphabet_train/K/K1143.jpg,K
asl_alphabet_train/Q/Q2452.jpg,Q
asl_alphabet_train/Q/Q439.jpg,Q
asl_alphabet_train/T/T1889.jpg,T
asl_alphabet_train/D/D798.jpg,D
asl_alphabet_train/K/K2757.jpg,K
asl_alphabet_train/T/T1912.jpg,T
asl_alphabet_train/G/G2774.jpg,G
asl_alphabet_train/X/X19.jpg,X
asl_alphabet_train/V/V920.jpg,V
asl_alphabet_train/space/space1274.jpg,space
asl_alphabet_train/E/E1612.jpg,E
asl_alphabet_train/Q/Q2907.jpg,Q
asl_alphabet_train/O/O2474.jpg,O
asl_alphabet_train/nothing/nothing1831.jpg,nothing
asl_alphabet_train/M/M2906.jpg,M
asl_alphabet_train/F/F549.jpg,F
asl_alphabet_train/N/N2259.jpg,N
asl_alphabet_train/space/space750.jpg,space
asl_alphabet_train/T/T2808.jpg,T
asl_alphabet_train/F/F1744.jpg,F
asl_alphabet_train/Z/Z12.jpg,Z
asl_alphabet_train/Q/Q1253.jpg,Q
asl_alphabet_train/N/N642.jpg,N
asl_alphabet_train/E/E362.jpg,E
asl_alphabet_train/W/W1511.jpg,W
asl_alphabet_train/nothing/nothing1973.jpg,nothing
asl_alphabet_train/T/T215.jpg,T
asl_alphabet_train/E/E1138.jpg,E
asl_alphabet_train/E/E2691.jpg,E
asl_alphabet_train/A/A2520.jpg,A
asl_alphabet_train/Z/Z301.jpg,Z
asl_alphabet_train/F/F21.jpg,F
asl_alphabet_train/L/L390.jpg,L
asl_alphabet_train/E/E2939.jpg,E
asl_alphabet_train/P/P2644.jpg,P
asl_alphabet_train/Z/Z305.jpg,Z
asl_alphabet_train/B/B2419.jpg,B
asl_alphabet_train/L/L2847.jpg,L
asl_alphabet_train/nothing/nothing1473.jpg,nothing
asl_alphabet_train/space/space2777.jpg,space
asl_alphabet_train/X/X1230.jpg,X
asl_alphabet_train/M/M507.jpg,M
asl_alphabet_train/B/B2446.jpg,B
asl_alphabet_train/M/M1027.jpg,M
asl_alphabet_train/P/P2126.jpg,P
asl_alphabet_train/X/X2479.jpg,X
asl_alphabet_train/V/V1662.jpg,V
asl_alphabet_train/J/J1789.jpg,J
asl_alphabet_train/H/H320.jpg,H
asl_alphabet_train/C/C2815.jpg,C
asl_alphabet_train/S/S250.jpg,S
asl_alphabet_train/Z/Z1644.jpg,Z
asl_alphabet_train/H/H618.jpg,H
asl_alphabet_train/J/J883.jpg,J
asl_alphabet_train/S/S920.jpg,S
asl_alphabet_train/U/U1660.jpg,U
asl_alphabet_train/space/space424.jpg,space
asl_alphabet_train/Y/Y816.jpg,Y
asl_alphabet_train/space/space1408.jpg,space
asl_alphabet_train/J/J1192.jpg,J
asl_alphabet_train/P/P2265.jpg,P
